Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,88.38615641046526,88.31168831168831,88.40579710144928,96.05263157894736,90.2439024390244,91.30434782608695,92.94117647058825,97.0,78.37837837837837,84.21052631578947,90.1639344262295,86.95652173913044,87.5,93.84615384615384,85.71428571428571,94.3661971830986,85.29411764705883,71.875
2,87.90649704783627,89.6103896103896,89.85507246376811,85.52631578947368,92.6829268292683,88.40579710144928,95.2941176470588,96.0,79.72972972972973,84.21052631578947,90.1639344262295,89.85507246376811,86.25,90.76923076923076,85.71428571428571,90.14084507042254,86.76470588235294,73.4375
3,91.8032786885246,,,,,,,,,,91.8032786885246,,,,,,,
