Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,86.19380318189553,87.01298701298701,88.40579710144928,92.10526315789474,90.2439024390244,92.7536231884058,91.76470588235294,96.0,81.08108108108108,73.68421052631578,88.52459016393442,84.05797101449275,83.75,92.3076923076923,82.14285714285714,87.32394366197182,83.82352941176471,70.3125
2,87.90649704783627,89.6103896103896,89.85507246376811,85.52631578947368,92.6829268292683,88.40579710144928,95.2941176470588,96.0,79.72972972972973,84.21052631578947,90.1639344262295,89.85507246376811,86.25,90.76923076923076,85.71428571428571,90.14084507042254,86.76470588235294,73.4375
3,91.8032786885246,,,,,,,,,,91.8032786885246,,,,,,,
