Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,89.26018719601306,85.71428571428571,91.30434782608695,96.05263157894736,91.46341463414636,94.20289855072464,90.58823529411764,96.0,81.08108108108108,89.47368421052632,88.52459016393442,85.5072463768116,87.5,95.3846153846154,88.09523809523809,91.54929577464787,85.29411764705883,79.6875
2,86.09952257228024,88.31168831168831,92.7536231884058,89.47368421052632,85.36585365853658,91.30434782608695,92.94117647058825,92.0,77.02702702702703,82.45614035087719,80.32786885245902,82.6086956521739,86.25,93.84615384615384,82.14285714285714,87.32394366197182,72.05882352941177,87.5
3,91.8032786885246,,,,,,,,,,91.8032786885246,,,,,,,
