Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,89.71386242370599,87.01298701298701,91.30434782608695,96.05263157894736,92.6829268292683,94.20289855072464,91.76470588235294,96.0,81.08108108108108,89.47368421052632,90.1639344262295,86.95652173913044,90.0,93.84615384615384,88.09523809523809,94.3661971830986,80.88235294117648,81.25
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
