Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,87.29402069030107,76.62337662337663,89.85507246376811,82.89473684210526,85.36585365853658,88.40579710144928,91.76470588235294,90.0,,,93.44262295081968,,,,,,,
2,83.12201607671416,61.03896103896104,89.85507246376811,80.26315789473685,82.92682926829268,84.05797101449275,90.58823529411764,91.0,,,85.24590163934425,,,,,,,
3,86.17195123056204,79.22077922077922,91.30434782608695,90.78947368421052,84.14634146341463,91.30434782608695,94.11764705882352,97.0,78.37837837837837,85.96491228070175,85.24590163934425,84.05797101449275,85.0,95.3846153846154,85.71428571428571,85.91549295774648,77.94117647058823,73.4375
