Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,88.68641059932176,88.31168831168831,88.40579710144928,96.05263157894736,90.2439024390244,92.7536231884058,94.11764705882352,97.0,78.37837837837837,84.21052631578947,90.1639344262295,86.95652173913044,88.75,95.3846153846154,86.90476190476191,92.95774647887325,86.76470588235294,70.3125
2,88.19235792078621,90.9090909090909,89.85507246376811,90.78947368421052,89.02439024390245,86.95652173913044,95.2941176470588,98.0,81.08108108108108,87.71929824561403,95.08196721311477,86.95652173913044,86.25,92.3076923076923,85.71428571428571,84.50704225352112,83.82352941176471,75.0
3,,,,,,,,,,,,,,,,,,
