Configuration,Average,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17
1,,,,,,,,93.0,,,52.46,,,,,,,
2,56.08754180678805,64.93506493506493,34.78260869565217,63.1578947368421,47.5609756097561,49.275362318840585,43.52941176470589,93.0,,,52.459016393442624,,,,,,,
